City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Jorochito,BO,73.51,overcast clouds,-18.05,-63.4333,Tom´s Hauss
314,Ewo,CG,72.18,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
321,Crib Point,AU,73.99,few clouds,-38.35,145.2,Erawan Bed & Breakfast
323,San Nicolas,PH,80.6,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
324,Paragominas,BR,71.29,overcast clouds,-2.9667,-47.4833,.
325,Tarauaca,BR,72.48,overcast clouds,-8.1614,-70.7656,Flat Temporada
327,Isangel,VU,78.8,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
329,Maningrida,AU,88.66,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
333,Nabire,ID,85.32,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
340,Bang Saphan,TH,86.0,few clouds,11.2126,99.5117,Ladawan Boutique Hotel
341,Piedras,CO,75.52,scattered clouds,4.5383,-74.8818,El costeño
343,Salalah,OM,73.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
345,Bosaso,SO,74.88,scattered clouds,11.2842,49.1816,Red Sea Hotel
346,Martapura,ID,84.2,broken clouds,-3.4167,114.85,Montana Hotel Syariah
348,Cockburn Town,TC,73.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
351,Takoradi,GH,78.31,scattered clouds,4.8845,-1.7554,Raybow International Hotel
353,Muisne,EC,75.97,light rain,0.6,-80.0333,Quinta Samay
356,Malindi,KE,82.4,scattered clouds,-3.2175,40.1191,African House Resort
357,Belmonte,BR,73.4,mist,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
360,Cobija,BO,72.61,broken clouds,-11.0267,-68.7692,Hotel Obelisco
362,Port Moresby,PG,77.0,moderate rain,-9.4431,147.1797,Lamana Hotel
364,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
371,Zhangzhou,CN,71.6,clear sky,24.5133,117.6556,Crowne Plaza Zhangzhou
381,Luang Prabang,LA,71.6,broken clouds,19.8856,102.1347,Villa Oasis
385,Sao Desiderio,BR,73.69,broken clouds,-12.3633,-44.9733,Meu cantinho
391,Bambous Virieux,MU,84.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
392,Quatre Cocos,MU,86.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
393,Mitsamiouli,KM,83.19,broken clouds,-11.3847,43.2844,Foyer ADM
398,Ambulu,ID,85.69,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
407,Finschhafen,PG,86.74,overcast clouds,-6.6024,147.8681,Cossam Guest House
409,Sur,OM,75.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
413,Tecoanapa,MX,73.8,broken clouds,16.5167,-98.75,Hotel Manglares
415,Santa Cruz,BO,74.5,overcast clouds,-17.8,-63.1667,Hotel Cortez
421,Cuamba,MZ,75.15,overcast clouds,-14.8031,36.5372,Hotel Vision
424,Waitakere,NZ,72.0,broken clouds,-36.9175,174.6577,Avondale Motor Inn
426,Mackay,AU,84.2,clear sky,-21.15,149.2,International Lodge Motel
431,Mahibadhoo,MV,81.86,clear sky,3.7833,72.9667,Omadhoo Inn
436,Itaituba,BR,71.85,broken clouds,-4.2761,-55.9836,Hotel Campos
442,Caucaia,BR,78.8,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
443,Hambantota,LK,82.4,moderate rain,6.1241,81.1185,Bungalow 63
445,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
448,Mahanoro,MG,84.94,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
451,Kilindoni,TZ,81.73,broken clouds,-7.9139,39.6668,Bustani B&B
455,Nong Chik,TH,80.96,broken clouds,6.8436,101.178,Bakkahland Farm and Resort
457,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
459,La Union,PE,78.12,broken clouds,-5.4,-80.75,Los Portales
463,Sao Filipe,CV,72.55,overcast clouds,14.8961,-24.4956,Tortuga B&B
467,Majene,ID,88.03,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
474,Chicama,PE,73.42,broken clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
